,chaos_value,type,type_line,price,shoplink_template,stack_size,datetime
0,81.75605,Fragment,Simulacrum Splinter,0.6646833333333333,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""31"" y=""0""] ~b/o {final_price} {fx_id}",123,2021-05-18 19:34:06.254802
1,14.950657894736842,Currency,Annulment Shard,0.9967105263157895,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""53"" y=""0""] ~b/o {final_price} {fx_id}",15,2021-05-18 19:34:06.254802
2,93.0,Hard Currency,Divine Orb,15.5,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""20"" y=""0""] ~b/o {final_price} {fx_id}",6,2021-05-18 19:34:06.254802
3,0.0,,Alteration Shard,,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""25"" y=""0""] ~b/o {final_price} {fx_id}",15,2021-05-18 19:34:06.254802
4,0.0,,Scroll Fragment,,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""23"" y=""0""] ~b/o {final_price} {fx_id}",1,2021-05-18 19:34:06.254802
5,0.0,,Transmutation Shard,,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""24"" y=""0""] ~b/o {final_price} {fx_id}",1,2021-05-18 19:34:06.254802
6,4.1936800000000005,Hard Currency,Jeweller's Orb,0.104842,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""19"" y=""0""] ~b/o {final_price} {fx_id}",40,2021-05-18 19:34:06.254802
7,0.0,,Alchemy Shard,,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""26"" y=""0""] ~b/o {final_price} {fx_id}",10,2021-05-18 19:34:06.254802
8,25.461242105263157,Currency,Silver Coin,0.11070105263157895,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""35"" y=""0""] ~b/o {final_price} {fx_id}",230,2021-05-18 19:34:06.254802
9,2.26092,Hard Currency,Stacked Deck,2.26092,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""47"" y=""0""] ~b/o {final_price} {fx_id}",1,2021-05-18 19:34:06.254802
10,23.0,Hard Currency,Gemcutter's Prism,1.0,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""16"" y=""0""] ~b/o {final_price} {fx_id}",23,2021-05-18 19:34:06.254802
11,4.5633,Currency,Scroll of Wisdom,0.01855,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""1"" y=""0""] ~b/o {final_price} {fx_id}",246,2021-05-18 19:34:06.254802
12,225.0,Hard Currency,Awakener's Orb,225.0,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""61"" y=""0""] ~b/o {final_price} {fx_id}",1,2021-05-18 19:34:06.254802
13,45.0,Hard Currency,Exalted Shard,7.5,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""51"" y=""0""] ~b/o {final_price} {fx_id}",6,2021-05-18 19:34:06.254802
14,0.0,,Facetor's Lens,,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""48"" y=""0""] ~b/o {final_price} {fx_id}",1,2021-05-18 19:34:06.254802
