,value,type,name,datetime
0,10.516316651685393,Currency,Armourer's Scrap,2020-04-18 10:58:32.785571
1,1.27274,Currency,Intrinsic Catalyst,2020-04-18 10:58:32.785571
2,9.100091,Currency,Blacksmith's Whetstone,2020-04-18 10:58:32.785571
3,2.0,Essence,Shrieking Essence of Dread,2020-04-18 10:58:32.785571
4,1.0,Essence,Weeping Essence of Sorrow,2020-04-18 10:58:32.785571
5,11.555203384615385,Currency,Awakened Sextant,2020-04-18 10:58:32.785571
6,1.468824,Currency,Glassblower's Bauble,2020-04-18 10:58:32.785571
7,1.5,Currency,Orb of Binding,2020-04-18 10:58:32.785571
8,20.000511473684213,Currency,Orb of Regret,2020-04-18 10:58:32.785571
9,1.8646211392405063,Currency,Abrasive Catalyst,2020-04-18 10:58:32.785571
10,16.818566202127663,Currency,Jeweller's Orb,2020-04-18 10:58:32.785571
11,14.300286000000002,Currency,Orb of Augmentation,2020-04-18 10:58:32.785571
12,5.925000967741936,Currency,Perandus Coin,2020-04-18 10:58:32.785571
13,0.8571599999999999,Currency,Engineer's Orb,2020-04-18 10:58:32.785571
14,0.0,,Alteration Shard,2020-04-18 10:58:32.785571
15,0.0,,Chaos Shard,2020-04-18 10:58:32.785571
16,7.0,DeliriumOrb,Fossilised Delirium Orb,2020-04-18 10:58:32.785571
17,5.9826690000000005,Currency,Silver Coin,2020-04-18 10:58:32.785571
18,1.33332,Currency,Turbulent Catalyst,2020-04-18 10:58:32.785571
19,0.0,,Alchemy Shard,2020-04-18 10:58:32.785571
20,3.0,DeliriumOrb,Portentous Delirium Orb,2020-04-18 10:58:32.785571
21,3.0,Essence,Remnant of Corruption,2020-04-18 10:58:32.785571
22,0.0,,Ancient Shard,2020-04-18 10:58:32.785571
23,20.342399000000004,Currency,Orb of Chance,2020-04-18 10:58:32.785571
24,0.0,,Transmutation Shard,2020-04-18 10:58:32.785571
25,29.216952695652175,Currency,Orb of Fusing,2020-04-18 10:58:32.785571
26,2.76924,Currency,Regal Orb,2020-04-18 10:58:32.785571
27,0.0,,Regal Shard,2020-04-18 10:58:32.785571
28,0.0,,Orb of Transmutation,2020-04-18 10:58:32.785571
29,0.0,,Binding Shard,2020-04-18 10:58:32.785571
30,1.8900000000000001,Oil,Verdant Oil,2020-04-18 10:58:32.785571
31,1.28574,Currency,Orb of Horizons,2020-04-18 10:58:32.785571
32,70.54377361643836,Currency,Orb of Alteration,2020-04-18 10:58:32.785571
33,3.1667300000000003,Currency,Simple Sextant,2020-04-18 10:58:32.785571
34,0.9520500000000002,Currency,Blessed Orb,2020-04-18 10:58:32.785571
35,0.0,,Portal Scroll,2020-04-18 10:58:32.785571
36,3.0,Currency,Tempering Catalyst,2020-04-18 10:58:32.785571
37,0.0,,Scroll of Wisdom,2020-04-18 10:58:32.785571
38,6.0,Fossil,Dense Fossil,2020-04-18 10:58:32.785571
39,2.0000400000000003,Currency,Splinter of Tul,2020-04-18 10:58:32.785571
