,value,type,type_line,datetime
0,6.2650500000000005,Currency,Armourer's Scrap,2020-04-18 21:58:01.373671
1,2.010788387096774,Currency,Intrinsic Catalyst,2020-04-18 21:58:01.373671
2,12.400124000000002,Currency,Blacksmith's Whetstone,2020-04-18 21:58:01.373671
3,13.540000000000001,Currency,Stacked Deck,2020-04-18 21:58:01.373671
4,1.51671,Currency,Orb of Binding,2020-04-18 21:58:01.373671
5,0.0,,Alchemy Shard,2020-04-18 21:58:01.373671
6,7.0,Currency,Exalted Shard,2020-04-18 21:58:01.373671
7,22.353375891891893,Currency,Orb of Regret,2020-04-18 21:58:01.373671
8,2.33338,Currency,Abrasive Catalyst,2020-04-18 21:58:01.373671
9,21.154188,Currency,Jeweller's Orb,2020-04-18 21:58:01.373671
10,11.733568000000002,Currency,Orb of Augmentation,2020-04-18 21:58:01.373671
11,9.304293103448277,Currency,Perandus Coin,2020-04-18 21:58:01.373671
12,0.6000000000000001,Currency,Engineer's Orb,2020-04-18 21:58:01.373671
13,1.5,Currency,Splinter of Chayula,2020-04-18 21:58:01.373671
14,0.0,,Alteration Shard,2020-04-18 21:58:01.373671
15,0.0,,Chaos Shard,2020-04-18 21:58:01.373671
16,0.0,,Transmutation Shard,2020-04-18 21:58:01.373671
17,5.7603034270833335,Currency,Silver Coin,2020-04-18 21:58:01.373671
18,2.66664,Currency,Turbulent Catalyst,2020-04-18 21:58:01.373671
19,0.0,,Scroll Fragment,2020-04-18 21:58:01.373671
20,4.62,Essence,Remnant of Corruption,2020-04-18 21:58:01.373671
21,1.0,Oil,Azure Oil,2020-04-18 21:58:01.373671
22,3.0,DeliriumOrb,Portentous Delirium Orb,2020-04-18 21:58:01.373671
23,0.0,,Ancient Shard,2020-04-18 21:58:01.373671
24,11.885925873684211,Currency,Orb of Chance,2020-04-18 21:58:01.373671
25,34.981261857142854,Currency,Orb of Fusing,2020-04-18 21:58:01.373671
26,2.07693,Currency,Regal Orb,2020-04-18 21:58:01.373671
27,0.0,,Regal Shard,2020-04-18 21:58:01.373671
28,0.0,,Orb of Transmutation,2020-04-18 21:58:01.373671
29,0.0,,Binding Shard,2020-04-18 21:58:01.373671
30,3.9485765853658537,Currency,Orb of Alteration,2020-04-18 21:58:01.373671
31,1.5270684210526317,Currency,Orb of Horizons,2020-04-18 21:58:01.373671
32,1.5,Oil,Sepia Oil,2020-04-18 21:58:01.373671
33,2.0,DeliriumOrb,Decadent Delirium Orb,2020-04-18 21:58:01.373671
34,2.0,Oil,Clear Oil,2020-04-18 21:58:01.373671
35,4.384149,Currency,Simple Sextant,2020-04-18 21:58:01.373671
36,0.90816,Currency,Blessed Orb,2020-04-18 21:58:01.373671
37,0.0,,Portal Scroll,2020-04-18 21:58:01.373671
38,33.404986560000005,Fragment,Simulacrum Splinter,2020-04-18 21:58:01.373671
39,3.0,Currency,Tempering Catalyst,2020-04-18 21:58:01.373671
40,0.0,,Scroll of Wisdom,2020-04-18 21:58:01.373671
41,8.692596,Currency,Orb of Alchemy,2020-04-18 21:58:01.373671
42,6.094261914893617,Currency,Vaal Orb,2020-04-18 21:58:01.373671
43,7.3333699999999995,Currency,Prime Sextant,2020-04-18 21:58:01.373671
44,5.6026058823529405,Currency,Gemcutter's Prism,2020-04-18 21:58:01.373671
45,0.0,,Chaos Orb,2020-04-18 21:58:01.373671
46,0.0,,Horizon Shard,2020-04-18 21:58:01.373671
47,5.7285778,Currency,Chromatic Orb,2020-04-18 21:58:01.373671
48,2.0,DeliriumOrb,Armoursmith's Delirium Orb,2020-04-18 21:58:01.373671
49,6.157323586206897,Currency,Cartographer's Chisel,2020-04-18 21:58:01.373671
50,0.0,,Sapphire Ring,2020-04-18 21:58:01.373671
51,51.13401663934427,Currency,Orb of Scouring,2020-04-18 21:58:01.373671
52,1.0,DivinationCard,The Hermit,2020-04-18 21:58:01.373671
53,6.0,DivinationCard,Imperial Legacy,2020-04-18 21:58:01.373671
54,1.24,DivinationCard,Prosperity,2020-04-18 21:58:01.373671
55,25.08,DivinationCard,The Catalyst,2020-04-18 21:58:01.373671
56,1.0,DivinationCard,The Blazing Fire,2020-04-18 21:58:01.373671
57,21.0,DivinationCard,Arrogance of the Vaal,2020-04-18 21:58:01.373671
58,4.0,DivinationCard,The Flora's Gift,2020-04-18 21:58:01.373671
59,1.0,DivinationCard,Thirst for Knowledge,2020-04-18 21:58:01.373671
60,8.0,DivinationCard,The Gemcutter,2020-04-18 21:58:01.373671
61,18.0,DivinationCard,Her Mask,2020-04-18 21:58:01.373671
62,1.0,DivinationCard,The Jeweller's Boon,2020-04-18 21:58:01.373671
63,1.0,DivinationCard,Scholar of the Seas,2020-04-18 21:58:01.373671
64,4.59,DivinationCard,The Tinkerer's Table,2020-04-18 21:58:01.373671
65,6.959999999999999,DivinationCard,The Dapper Prodigy,2020-04-18 21:58:01.373671
66,2.0,DivinationCard,The Lover,2020-04-18 21:58:01.373671
67,4.0,DivinationCard,The Endurance,2020-04-18 21:58:01.373671
68,6.0,DivinationCard,The King's Blade,2020-04-18 21:58:01.373671
69,1.0,DivinationCard,The Gentleman,2020-04-18 21:58:01.373671
70,1.32,DivinationCard,The Warden,2020-04-18 21:58:01.373671
71,2.0,DivinationCard,Emperor of Purity,2020-04-18 21:58:01.373671
72,1.0,DivinationCard,Boundless Realms,2020-04-18 21:58:01.373671
73,1.9500000000000002,DivinationCard,Lantador's Lost Love,2020-04-18 21:58:01.373671
74,2.0,DivinationCard,Mitts,2020-04-18 21:58:01.373671
75,3.0,DivinationCard,Divine Justice,2020-04-18 21:58:01.373671
76,1.0,DivinationCard,Grave Knowledge,2020-04-18 21:58:01.373671
77,1.0,DivinationCard,Deathly Designs,2020-04-18 21:58:01.373671
78,2.0,DivinationCard,The Dreamer,2020-04-18 21:58:01.373671
79,24.200000000000003,DivinationCard,Rain of Chaos,2020-04-18 21:58:01.373671
80,1.0,DivinationCard,Gift of the Gemling Queen,2020-04-18 21:58:01.373671
81,1.0,DivinationCard,Harmony of Souls,2020-04-18 21:58:01.373671
82,9.0,DivinationCard,The Survivalist,2020-04-18 21:58:01.373671
83,1.0,DivinationCard,The Aesthete,2020-04-18 21:58:01.373671
84,1.0,DivinationCard,The Doppelganger,2020-04-18 21:58:01.373671
85,2.0,DivinationCard,The Seeker,2020-04-18 21:58:01.373671
86,3.0,DivinationCard,The Puzzle,2020-04-18 21:58:01.373671
87,1.0,DivinationCard,Last Hope,2020-04-18 21:58:01.373671
88,1.0,DivinationCard,Gemcutter's Promise,2020-04-18 21:58:01.373671
89,1.0,DivinationCard,The Garish Power,2020-04-18 21:58:01.373671
90,1.0,DivinationCard,The Lion,2020-04-18 21:58:01.373671
91,1.0,DivinationCard,The Union,2020-04-18 21:58:01.373671
92,2.0,DivinationCard,Hubris,2020-04-18 21:58:01.373671
93,2.0,DivinationCard,The Battle Born,2020-04-18 21:58:01.373671
94,2.0,DivinationCard,The Rite of Elements,2020-04-18 21:58:01.373671
95,4.0,DivinationCard,The Encroaching Darkness,2020-04-18 21:58:01.373671
96,1.0,DivinationCard,The Price of Protection,2020-04-18 21:58:01.373671
97,20.650000000000002,DivinationCard,Three Faces in the Dark,2020-04-18 21:58:01.373671
98,2.0,DivinationCard,The Chains that Bind,2020-04-18 21:58:01.373671
99,2.0,DivinationCard,The Wolf's Shadow,2020-04-18 21:58:01.373671
100,1.0,DivinationCard,The Obscured,2020-04-18 21:58:01.373671
101,23.1,DivinationCard,Emperor's Luck,2020-04-18 21:58:01.373671
102,1.0,DivinationCard,The Pact,2020-04-18 21:58:01.373671
103,2.0,DivinationCard,The Metalsmith's Gift,2020-04-18 21:58:01.373671
104,0.0,DivinationCard,A Mother's Parting Gift,2020-04-18 21:58:01.373671
105,2.4899999999999998,DivinationCard,Destined to Crumble,2020-04-18 21:58:01.373671
106,2.0,DivinationCard,The Wrath,2020-04-18 21:58:01.373671
107,1.0,DivinationCard,Vinia's Token,2020-04-18 21:58:01.373671
108,1.0,DivinationCard,Sambodhi's Vow,2020-04-18 21:58:01.373671
109,1.0,DivinationCard,The Scarred Meadow,2020-04-18 21:58:01.373671
110,1.0,DivinationCard,Turn the Other Cheek,2020-04-18 21:58:01.373671
111,1.0,DivinationCard,The Stormcaller,2020-04-18 21:58:01.373671
112,1.0,DivinationCard,Thunderous Skies,2020-04-18 21:58:01.373671
113,2.0,DivinationCard,The Beast,2020-04-18 21:58:01.373671
114,1.0,DivinationCard,The Journey,2020-04-18 21:58:01.373671
115,40.0,DivinationCard,Loyalty,2020-04-18 21:58:01.373671
116,4.0,DivinationCard,The Professor,2020-04-18 21:58:01.373671
117,1.0,DivinationCard,Volatile Power,2020-04-18 21:58:01.373671
118,1.0,DivinationCard,The Master Artisan,2020-04-18 21:58:01.373671
119,1.0,DivinationCard,The Inventor,2020-04-18 21:58:01.373671
120,6.0,DivinationCard,The Opulent,2020-04-18 21:58:01.373671
121,3.3000000000000003,DivinationCard,The Carrion Crow,2020-04-18 21:58:01.373671
122,2.0,DivinationCard,Dark Temptation,2020-04-18 21:58:01.373671
123,6.0,DivinationCard,Lucky Connections,2020-04-18 21:58:01.373671
124,1.0,DivinationCard,The Sword King's Salute,2020-04-18 21:58:01.373671
125,1.0,DivinationCard,The Incantation,2020-04-18 21:58:01.373671
126,1.0,DivinationCard,The Sigil,2020-04-18 21:58:01.373671
127,1.0,DivinationCard,Akil's Prophecy,2020-04-18 21:58:01.373671
128,1.0,DivinationCard,The Messenger,2020-04-18 21:58:01.373671
129,1.64,DivinationCard,The Lunaris Priestess,2020-04-18 21:58:01.373671
130,2.0,DivinationCard,Doedre's Madness,2020-04-18 21:58:01.373671
131,24.0,DivinationCard,Three Voices,2020-04-18 21:58:01.373671
132,1.0,DivinationCard,The Twilight Moon,2020-04-18 21:58:01.373671
133,3.48,DivinationCard,Boon of Justice,2020-04-18 21:58:01.373671
134,1.0,DivinationCard,The Fox,2020-04-18 21:58:01.373671
135,16.0,DivinationCard,The Gambler,2020-04-18 21:58:01.373671
136,2.0,DivinationCard,The Realm,2020-04-18 21:58:01.373671
137,1.0,DivinationCard,Jack in the Box,2020-04-18 21:58:01.373671
138,3.0,DivinationCard,The Void,2020-04-18 21:58:01.373671
139,1.2,DivinationCard,Struck by Lightning,2020-04-18 21:58:01.373671
140,48.0,Fragment,Fragment of Eradication,2020-04-18 21:58:01.373671
141,2.0,Fragment,Sacrifice at Midnight,2020-04-18 21:58:01.373671
142,18.798615000000005,Fragment,Timeless Karui Splinter,2020-04-18 21:58:01.373671
143,3.0,Scarab,Polished Perandus Scarab,2020-04-18 21:58:01.373671
144,1.92108,Fragment,Sacrifice at Noon,2020-04-18 21:58:01.373671
145,6.5,Currency,Splinter of Chayula,2020-04-18 21:58:01.373671
146,3.85392,Currency,Splinter of Esh,2020-04-18 21:58:01.373671
147,6.0,Fragment,Timeless Maraketh Splinter,2020-04-18 21:58:01.373671
148,4.74,Scarab,Rusted Reliquary Scarab,2020-04-18 21:58:01.373671
149,2.0460774193548388,Currency,Splinter of Uul-Netol,2020-04-18 21:58:01.373671
150,4.66662,Fragment,Sacrifice at Dawn,2020-04-18 21:58:01.373671
151,3.1500343406593414,Currency,Splinter of Xoph,2020-04-18 21:58:01.373671
152,3.71423,Fragment,Sacrifice at Dusk,2020-04-18 21:58:01.373671
153,2.48,Scarab,Rusted Metamorph Scarab,2020-04-18 21:58:01.373671
154,2.0,Scarab,Polished Metamorph Scarab,2020-04-18 21:58:01.373671
155,1.0,Scarab,Polished Torment Scarab,2020-04-18 21:58:01.373671
156,2.0,Scarab,Polished Harbinger Scarab,2020-04-18 21:58:01.373671
157,18.844281720000005,Fragment,Timeless Eternal Empire Splinter,2020-04-18 21:58:01.373671
158,1.0,Scarab,Rusted Harbinger Scarab,2020-04-18 21:58:01.373671
159,3.0,Scarab,Rusted Elder Scarab,2020-04-18 21:58:01.373671
160,1.5,Scarab,Rusted Torment Scarab,2020-04-18 21:58:01.373671
161,2.0,Scarab,Rusted Shaper Scarab,2020-04-18 21:58:01.373671
162,5.1899999999999995,Scarab,Rusted Ambush Scarab,2020-04-18 21:58:01.373671
163,12.650253000000001,Currency,Splinter of Tul,2020-04-18 21:58:01.373671
164,3.653928888888889,Fragment,Offering to the Goddess,2020-04-18 21:58:01.373671
165,6.0,Scarab,Polished Legion Scarab,2020-04-18 21:58:01.373671
166,1.0,Fragment,Timeless Templar Splinter,2020-04-18 21:58:01.373671
167,2.0,Scarab,Rusted Breach Scarab,2020-04-18 21:58:01.373671
168,6.0,Scarab,Rusted Divination Scarab,2020-04-18 21:58:01.373671
169,3.0,Scarab,Rusted Cartography Scarab,2020-04-18 21:58:01.373671
170,2.0,Fragment,Divine Vessel,2020-04-18 21:58:01.373671
171,18.333315000000002,Fragment,Timeless Vaal Splinter,2020-04-18 21:58:01.373671
172,3.0,Scarab,Rusted Perandus Scarab,2020-04-18 21:58:01.373671
173,2.0,Essence,Weeping Essence of Anger,2020-04-18 21:58:01.373671
174,4.0,Essence,Weeping Essence of Sorrow,2020-04-18 21:58:01.373671
175,3.0,Essence,Shrieking Essence of Zeal,2020-04-18 21:58:01.373671
176,2.0,Essence,Shrieking Essence of Dread,2020-04-18 21:58:01.373671
177,6.0,Essence,Wailing Essence of Fear,2020-04-18 21:58:01.373671
178,4.0,Essence,Screaming Essence of Torment,2020-04-18 21:58:01.373671
179,2.0,Essence,Screaming Essence of Scorn,2020-04-18 21:58:01.373671
180,1.0,Essence,Screaming Essence of Dread,2020-04-18 21:58:01.373671
181,3.0,Essence,Screaming Essence of Wrath,2020-04-18 21:58:01.373671
182,3.0,Essence,Weeping Essence of Woe,2020-04-18 21:58:01.373671
183,3.0,Essence,Screaming Essence of Anguish,2020-04-18 21:58:01.373671
184,2.0,Essence,Screaming Essence of Doubt,2020-04-18 21:58:01.373671
185,2.0,Essence,Wailing Essence of Hatred,2020-04-18 21:58:01.373671
186,2.0,Essence,Weeping Essence of Torment,2020-04-18 21:58:01.373671
187,6.32,Essence,Wailing Essence of Woe,2020-04-18 21:58:01.373671
188,4.0,Essence,Wailing Essence of Zeal,2020-04-18 21:58:01.373671
189,4.0,Essence,Wailing Essence of Torment,2020-04-18 21:58:01.373671
190,4.0,Essence,Wailing Essence of Suffering,2020-04-18 21:58:01.373671
191,2.0,Essence,Wailing Essence of Spite,2020-04-18 21:58:01.373671
192,1.0,Essence,Whispering Essence of Greed,2020-04-18 21:58:01.373671
193,2.0,Essence,Screaming Essence of Suffering,2020-04-18 21:58:01.373671
194,1.0,Essence,Screaming Essence of Loathing,2020-04-18 21:58:01.373671
195,3.0,Essence,Wailing Essence of Wrath,2020-04-18 21:58:01.373671
196,2.0,Essence,Wailing Essence of Loathing,2020-04-18 21:58:01.373671
197,1.0,Essence,Muttering Essence of Contempt,2020-04-18 21:58:01.373671
198,3.0,Essence,Weeping Essence of Hatred,2020-04-18 21:58:01.373671
199,5.0,Essence,Screaming Essence of Spite,2020-04-18 21:58:01.373671
200,3.0,Essence,Screaming Essence of Rage,2020-04-18 21:58:01.373671
201,3.0,Essence,Weeping Essence of Rage,2020-04-18 21:58:01.373671
202,1.0,Essence,Wailing Essence of Sorrow,2020-04-18 21:58:01.373671
203,4.0,Essence,Screaming Essence of Contempt,2020-04-18 21:58:01.373671
204,3.0,Essence,Weeping Essence of Contempt,2020-04-18 21:58:01.373671
205,4.0,Essence,Screaming Essence of Woe,2020-04-18 21:58:01.373671
206,3.0,Essence,Wailing Essence of Doubt,2020-04-18 21:58:01.373671
207,2.0,Essence,Whispering Essence of Contempt,2020-04-18 21:58:01.373671
208,3.0,Essence,Screaming Essence of Fear,2020-04-18 21:58:01.373671
209,0.0,Oil,Verdant Oil,2020-04-18 21:58:01.373671
210,6.0,Oil,Clear Oil,2020-04-18 21:58:01.373671
211,0.0,Oil,Sepia Oil,2020-04-18 21:58:01.373671
212,2.0,Essence,Muttering Essence of Anger,2020-04-18 21:58:01.373671
213,3.0,Essence,Wailing Essence of Anguish,2020-04-18 21:58:01.373671
214,6.6000000000000005,Essence,Wailing Essence of Contempt,2020-04-18 21:58:01.373671
215,2.0,Essence,Weeping Essence of Doubt,2020-04-18 21:58:01.373671
216,2.0,Essence,Wailing Essence of Rage,2020-04-18 21:58:01.373671
217,3.0,Essence,Screaming Essence of Zeal,2020-04-18 21:58:01.373671
218,3.0,Essence,Screaming Essence of Anger,2020-04-18 21:58:01.373671
219,1.0,Essence,Screaming Essence of Greed,2020-04-18 21:58:01.373671
220,1.0,Essence,Whispering Essence of Woe,2020-04-18 21:58:01.373671
221,2.31,Essence,Remnant of Corruption,2020-04-18 21:58:01.373671
222,5.0,Essence,Muttering Essence of Torment,2020-04-18 21:58:01.373671
223,2.0,Essence,Weeping Essence of Wrath,2020-04-18 21:58:01.373671
224,8.0,Essence,Weeping Essence of Fear,2020-04-18 21:58:01.373671
225,5.0,Essence,Wailing Essence of Anger,2020-04-18 21:58:01.373671
226,1.0,Essence,Shrieking Essence of Anger,2020-04-18 21:58:01.373671
227,3.0,Essence,Muttering Essence of Sorrow,2020-04-18 21:58:01.373671
228,3.52,Essence,Screaming Essence of Hatred,2020-04-18 21:58:01.373671
229,1.0,Essence,Muttering Essence of Fear,2020-04-18 21:58:01.373671
230,1.0,Essence,Screaming Essence of Envy,2020-04-18 21:58:01.373671
231,0.0,,Amber Amulet,2020-04-18 21:58:01.373671
232,3.0,Essence,Wailing Essence of Greed,2020-04-18 21:58:01.373671
233,2.0,Essence,Weeping Essence of Greed,2020-04-18 21:58:01.373671
234,2.0,Essence,Muttering Essence of Greed,2020-04-18 21:58:01.373671
235,2.0,UniqueJewel,Cobalt Jewel,2020-04-18 21:58:01.373671
236,0.0,Fragment,Offering to the Goddess,2020-04-18 21:58:01.373671
237,0.0,,Imbued Wand,2020-04-18 21:58:01.373671
238,0.0,,Medium Cluster Jewel,2020-04-18 21:58:01.373671
239,0.0,,Opal Wand,2020-04-18 21:58:01.373671
240,0.0,,Superior Terror Claw,2020-04-18 21:58:01.373671
241,0.0,,Lacewood Spirit Shield,2020-04-18 21:58:01.373671
242,0.0,,Abyssal Sceptre,2020-04-18 21:58:01.373671
243,0.0,,Spiked Gloves,2020-04-18 21:58:01.373671
244,0.0,,Imbued Wand,2020-04-18 21:58:01.373671
245,0.0,,Omen Wand,2020-04-18 21:58:01.373671
246,0.0,,Vaal Rapier,2020-04-18 21:58:01.373671
247,0.0,,Imbued Wand,2020-04-18 21:58:01.373671
248,0.0,,Spiraled Foil,2020-04-18 21:58:01.373671
249,0.0,,Gemstone Sword,2020-04-18 21:58:01.373671
250,0.0,,Imbued Wand,2020-04-18 21:58:01.373671
251,0.0,,Superior Fancy Foil,2020-04-18 21:58:01.373671
252,0.0,,Varnished Coat,2020-04-18 21:58:01.373671
253,0.0,,Titanium Spirit Shield,2020-04-18 21:58:01.373671
254,0.0,,Imbued Wand,2020-04-18 21:58:01.373671
255,0.0,,Sorcerer Boots,2020-04-18 21:58:01.373671
256,0.0,,Goliath Greaves,2020-04-18 21:58:01.373671
257,0.0,,Carnal Boots,2020-04-18 21:58:01.373671
258,0.0,,Conjurer Boots,2020-04-18 21:58:01.373671
259,0.0,,Steel Greaves,2020-04-18 21:58:01.373671
260,0.0,,Magistrate Crown,2020-04-18 21:58:01.373671
261,0.0,,Sorcerer Boots,2020-04-18 21:58:01.373671
262,0.0,,Lacquered Helmet,2020-04-18 21:58:01.373671
263,0.0,,Murder Boots,2020-04-18 21:58:01.373671
264,0.0,,Fluted Bascinet,2020-04-18 21:58:01.373671
265,0.0,,Titan Gauntlets,2020-04-18 21:58:01.373671
266,0.0,,Goliath Greaves,2020-04-18 21:58:01.373671
267,0.0,,Superior Conjurer Boots,2020-04-18 21:58:01.373671
268,0.0,,Eternal Burgonet,2020-04-18 21:58:01.373671
269,0.0,,Hydrascale Boots,2020-04-18 21:58:01.373671
270,0.0,,Hydrascale Boots,2020-04-18 21:58:01.373671
271,0.0,,Murder Boots,2020-04-18 21:58:01.373671
272,0.0,,Superior Solaris Circlet,2020-04-18 21:58:01.373671
273,0.0,,Steel Circlet,2020-04-18 21:58:01.373671
274,0.0,,Assassin's Boots,2020-04-18 21:58:01.373671
275,0.0,,Stealth Boots,2020-04-18 21:58:01.373671
276,0.0,,Slink Boots,2020-04-18 21:58:01.373671
277,0.0,,Slink Boots,2020-04-18 21:58:01.373671
278,0.0,,Carnal Boots,2020-04-18 21:58:01.373671
279,0.0,,Murder Boots,2020-04-18 21:58:01.373671
280,0.0,,Eternal Burgonet,2020-04-18 21:58:01.373671
281,0.0,,Hubris Circlet,2020-04-18 21:58:01.373671
282,0.0,,Eternal Burgonet,2020-04-18 21:58:01.373671
283,1.0,UniqueArmour,Exquisite Leather,2020-04-18 21:58:01.373671
284,2.0,DeliriumOrb,Abyssal Delirium Orb,2020-04-18 21:58:01.373671
285,0.0,,Two-Stone Ring,2020-04-18 21:58:01.373671
286,0.0,,Coral Ring,2020-04-18 21:58:01.373671
287,0.0,,Two-Stone Ring,2020-04-18 21:58:01.373671
288,0.0,,Two-Stone Ring,2020-04-18 21:58:01.373671
289,0.0,,Diamond Ring,2020-04-18 21:58:01.373671
290,0.0,,Jade Amulet,2020-04-18 21:58:01.373671
291,0.0,,Reave,2020-04-18 21:58:01.373671
292,0.0,,Sapphire Ring,2020-04-18 21:58:01.373671
293,0.0,,Coral Ring,2020-04-18 21:58:01.373671
294,0.0,,Diamond Ring,2020-04-18 21:58:01.373671
295,0.0,,Topaz Ring,2020-04-18 21:58:01.373671
296,0.0,,Cloth Belt,2020-04-18 21:58:01.373671
