,value,type,type_line,price,shoplink_template,stack_size,datetime
0,1.0724846153846155,Currency,Cartographer's Chisel,0.21449692307692309,"[linkItem location=""Stash1"" league=""Delirium"" x=""22"" y=""0""] ~b/o {final_price} {fx_id}",5,2020-04-23 00:55:34.203507
1,18.012946153846155,Currency,Armourer's Scrap,0.13342923076923077,"[linkItem location=""Stash1"" league=""Delirium"" x=""3"" y=""0""] ~b/o {final_price} {fx_id}",135,2020-04-23 00:55:34.203507
2,0.84208,Currency,Imbued Catalyst,0.10526,"[linkItem location=""Stash1"" league=""Delirium"" x=""43"" y=""0""] ~b/o {final_price} {fx_id}",8,2020-04-23 00:55:34.203507
3,5.988768,Currency,Blacksmith's Whetstone,0.124766,"[linkItem location=""Stash1"" league=""Delirium"" x=""0"" y=""0""] ~b/o {final_price} {fx_id}",48,2020-04-23 00:55:34.203507
4,9.238985,Currency,Gemcutter's Prism,0.6599275,"[linkItem location=""Stash1"" league=""Delirium"" x=""16"" y=""0""] ~b/o {final_price} {fx_id}",14,2020-04-23 00:55:34.203507
5,2.28576,Currency,Orb of Binding,0.14286,"[linkItem location=""Stash1"" league=""Delirium"" x=""59"" y=""0""] ~b/o {final_price} {fx_id}",16,2020-04-23 00:55:34.203507
6,30.0,DeliriumOrb,Fine Delirium Orb,15.0,"[linkItem location=""Stash1"" league=""Delirium"" x=""44"" y=""0""] ~b/o {final_price} {fx_id}",2,2020-04-23 00:55:34.203507
7,14.0,Currency,Divine Orb,14.0,"[linkItem location=""Stash1"" league=""Delirium"" x=""20"" y=""0""] ~b/o {final_price} {fx_id}",1,2020-04-23 00:55:34.203507
8,0.0,,Exalted Shard,,"[linkItem location=""Stash1"" league=""Delirium"" x=""51"" y=""0""] ~b/o {final_price} {fx_id}",2,2020-04-23 00:55:34.203507
9,0.0,,Scroll Fragment,,"[linkItem location=""Stash1"" league=""Delirium"" x=""23"" y=""0""] ~b/o {final_price} {fx_id}",2,2020-04-23 00:55:34.203507
10,0.0,,Horizon Shard,,"[linkItem location=""Stash1"" league=""Delirium"" x=""56"" y=""0""] ~b/o {final_price} {fx_id}",7,2020-04-23 00:55:34.203507
11,0.0,,Alchemy Shard,,"[linkItem location=""Stash1"" league=""Delirium"" x=""26"" y=""0""] ~b/o {final_price} {fx_id}",12,2020-04-23 00:55:34.203507
12,2.0,Currency,Harbinger's Orb,2.0,"[linkItem location=""Stash1"" league=""Delirium"" x=""57"" y=""0""] ~b/o {final_price} {fx_id}",1,2020-04-23 00:55:34.203507
