,value,type,type_line,price,shoplink_template,stack_size,datetime
0,14.645149484536082,Currency,Armourer's Scrap,0.12960309278350515,"[linkItem location=""Stash1"" league=""Delirium"" x=""3"" y=""0""] ~b/o {final_price} {fx_id}",113,2020-04-22 19:55:26.354382
1,0.8,Currency,Imbued Catalyst,0.1,"[linkItem location=""Stash1"" league=""Delirium"" x=""43"" y=""0""] ~b/o {final_price} {fx_id}",8,2020-04-22 19:55:26.354382
2,3.87289,Currency,Blacksmith's Whetstone,0.110654,"[linkItem location=""Stash1"" league=""Delirium"" x=""0"" y=""0""] ~b/o {final_price} {fx_id}",35,2020-04-22 19:55:26.354382
3,5.33336,Currency,Gemcutter's Prism,0.66667,"[linkItem location=""Stash1"" league=""Delirium"" x=""16"" y=""0""] ~b/o {final_price} {fx_id}",8,2020-04-22 19:55:26.354382
4,1.7087999999999999,Currency,Orb of Binding,0.11392,"[linkItem location=""Stash1"" league=""Delirium"" x=""59"" y=""0""] ~b/o {final_price} {fx_id}",15,2020-04-22 19:55:26.354382
5,0.0,,Exalted Shard,,"[linkItem location=""Stash1"" league=""Delirium"" x=""51"" y=""0""] ~b/o {final_price} {fx_id}",1,2020-04-22 19:55:26.354382
6,0.0,,Scroll Fragment,,"[linkItem location=""Stash1"" league=""Delirium"" x=""23"" y=""0""] ~b/o {final_price} {fx_id}",2,2020-04-22 19:55:26.354382
7,0.0,,Horizon Shard,,"[linkItem location=""Stash1"" league=""Delirium"" x=""56"" y=""0""] ~b/o {final_price} {fx_id}",7,2020-04-22 19:55:26.354382
8,2.0,Currency,Harbinger's Orb,2.0,"[linkItem location=""Stash1"" league=""Delirium"" x=""57"" y=""0""] ~b/o {final_price} {fx_id}",1,2020-04-22 19:55:26.354382
9,3.1667300000000003,Currency,Abrasive Catalyst,0.16667,"[linkItem location=""Stash1"" league=""Delirium"" x=""34"" y=""0""] ~b/o {final_price} {fx_id}",19,2020-04-22 19:55:26.354382
10,7.453799999999999,Currency,Jeweller's Orb,0.04545,"[linkItem location=""Stash1"" league=""Delirium"" x=""19"" y=""0""] ~b/o {final_price} {fx_id}",164,2020-04-22 19:55:26.354382
11,1.2059657142857143,Currency,Glassblower's Bauble,0.3014914285714286,"[linkItem location=""Stash1"" league=""Delirium"" x=""15"" y=""0""] ~b/o {final_price} {fx_id}",4,2020-04-22 19:55:26.354382
12,0.63637,Currency,Engineer's Orb,0.09091,"[linkItem location=""Stash1"" league=""Delirium"" x=""60"" y=""0""] ~b/o {final_price} {fx_id}",7,2020-04-22 19:55:26.354382
