,chaos_value,type,type_line,price,shoplink_template,stack_size,datetime
0,17.44427,Currency,Armourer's Scrap,0.11111,"[linkItem location=""Stash1"" league=""Delirium"" x=""3"" y=""0""] ~b/o {final_price} {fx_id}",157,2020-04-25 15:45:36.604890
1,1.2000000000000002,Currency,Imbued Catalyst,0.1,"[linkItem location=""Stash1"" league=""Delirium"" x=""43"" y=""0""] ~b/o {final_price} {fx_id}",12,2020-04-25 15:45:36.604890
2,6.902046,Currency,Blacksmith's Whetstone,0.1150341,"[linkItem location=""Stash1"" league=""Delirium"" x=""0"" y=""0""] ~b/o {final_price} {fx_id}",60,2020-04-25 15:45:36.604890
3,2.625,Currency,Orb of Binding,0.125,"[linkItem location=""Stash1"" league=""Delirium"" x=""59"" y=""0""] ~b/o {final_price} {fx_id}",21,2020-04-25 15:45:36.604890
4,15.0,Hard Currency,Divine Orb,15.0,"[linkItem location=""Stash1"" league=""Delirium"" x=""20"" y=""0""] ~b/o {final_price} {fx_id}",1,2020-04-25 15:45:36.604890
5,18.0,Currency,Exalted Shard,9.0,"[linkItem location=""Stash1"" league=""Delirium"" x=""51"" y=""0""] ~b/o {final_price} {fx_id}",2,2020-04-25 15:45:36.604890
6,0.0,,Alchemy Shard,,"[linkItem location=""Stash1"" league=""Delirium"" x=""26"" y=""0""] ~b/o {final_price} {fx_id}",19,2020-04-25 15:45:36.604890
7,0.0,,Scroll Fragment,,"[linkItem location=""Stash1"" league=""Delirium"" x=""23"" y=""0""] ~b/o {final_price} {fx_id}",3,2020-04-25 15:45:36.604890
8,1.0,Currency,Harbinger's Orb,1.0,"[linkItem location=""Stash1"" league=""Delirium"" x=""57"" y=""0""] ~b/o {final_price} {fx_id}",1,2020-04-25 15:45:36.604890
9,3.855309456521739,Currency,Abrasive Catalyst,0.1427892391304348,"[linkItem location=""Stash1"" league=""Delirium"" x=""34"" y=""0""] ~b/o {final_price} {fx_id}",27,2020-04-25 15:45:36.604890
10,8.908199999999999,Currency,Jeweller's Orb,0.04545,"[linkItem location=""Stash1"" league=""Delirium"" x=""19"" y=""0""] ~b/o {final_price} {fx_id}",196,2020-04-25 15:45:36.604890
11,2.8,Currency,Glassblower's Bauble,0.23333333333333334,"[linkItem location=""Stash1"" league=""Delirium"" x=""15"" y=""0""] ~b/o {final_price} {fx_id}",12,2020-04-25 15:45:36.604890
12,1.408255056179775,Currency,Engineer's Orb,0.14082550561797752,"[linkItem location=""Stash1"" league=""Delirium"" x=""60"" y=""0""] ~b/o {final_price} {fx_id}",10,2020-04-25 15:45:36.604890
13,15.853731272727273,Currency,Orb of Regret,0.27813563636363636,"[linkItem location=""Stash1"" league=""Delirium"" x=""7"" y=""0""] ~b/o {final_price} {fx_id}",57,2020-04-25 15:45:36.604890
14,6.5001,Currency,Regal Orb,0.21667,"[linkItem location=""Stash1"" league=""Delirium"" x=""12"" y=""0""] ~b/o {final_price} {fx_id}",30,2020-04-25 15:45:36.604890
15,5.6158214705882346,Currency,Silver Coin,0.06309911764705882,"[linkItem location=""Stash1"" league=""Delirium"" x=""35"" y=""0""] ~b/o {final_price} {fx_id}",89,2020-04-25 15:45:36.604890
16,5.7142,Currency,Turbulent Catalyst,0.28571,"[linkItem location=""Stash1"" league=""Delirium"" x=""41"" y=""0""] ~b/o {final_price} {fx_id}",20,2020-04-25 15:45:36.604890
17,5.411468282828283,Currency,Perandus Coin,0.00829979797979798,"[linkItem location=""Stash1"" league=""Delirium"" x=""39"" y=""0""] ~b/o {final_price} {fx_id}",652,2020-04-25 15:45:36.604890
18,1.04,Oil,Amber Oil,0.52,"[linkItem location=""Stash1"" league=""Delirium"" x=""40"" y=""0""] ~b/o {final_price} {fx_id}",2,2020-04-25 15:45:36.604890
19,0.0,,Harbinger's Shard,,"[linkItem location=""Stash1"" league=""Delirium"" x=""64"" y=""0""] ~b/o {final_price} {fx_id}",5,2020-04-25 15:45:36.604890
