,value,type,type_line,price,datetime
0,6.875000000000001,Currency,Armourer's Scrap,0.1375,2020-04-19 00:48:19.544877
1,13.51187412903226,Currency,Blacksmith's Whetstone,0.10639270967741936,2020-04-19 00:48:19.544877
2,0.0,,Alteration Shard,,2020-04-19 00:48:19.544877
3,10.132330576923078,Currency,Orb of Regret,0.30704032051282054,2020-04-19 00:48:19.544877
4,3.0,DeliriumOrb,Amorphous Delirium Orb,3.0,2020-04-19 00:48:19.544877
5,1.4975336734693876,Currency,Orb of Binding,0.11519489795918367,2020-04-19 00:48:19.544877
6,0.0,,Alchemy Shard,,2020-04-19 00:48:19.544877
7,7.0,Currency,Exalted Shard,7.0,2020-04-19 00:48:19.544877
8,2.0,Currency,Harbinger's Orb,2.0,2020-04-19 00:48:19.544877
9,2.33338,Currency,Abrasive Catalyst,0.16667,2020-04-19 00:48:19.544877
10,4.449555,Currency,Jeweller's Orb,0.049995,2020-04-19 00:48:19.544877
11,0.0,Currency,Glassblower's Bauble,0.0,2020-04-19 00:48:19.544877
12,8.695194471910114,Currency,Perandus Coin,0.009172146067415732,2020-04-19 00:48:19.544877
13,0.6000000000000001,Currency,Engineer's Orb,0.1,2020-04-19 00:48:19.544877
14,0.0,,Horizon Shard,,2020-04-19 00:48:19.544877
15,0.0,,Chaos Shard,,2020-04-19 00:48:19.544877
16,15.0,DeliriumOrb,Fine Delirium Orb,15.0,2020-04-19 00:48:19.544877
17,0.0,,Transmutation Shard,,2020-04-19 00:48:19.544877
18,5.439324,Currency,Silver Coin,0.061116000000000004,2020-04-19 00:48:19.544877
19,2.66664,Currency,Turbulent Catalyst,0.33333,2020-04-19 00:48:19.544877
20,0.0,,Scroll Fragment,,2020-04-19 00:48:19.544877
21,6.0,Essence,Remnant of Corruption,1.0,2020-04-19 00:48:19.544877
22,0.0,,Medium Cluster Jewel,,2020-04-19 00:48:19.544877
23,1.0,Oil,Azure Oil,1.0,2020-04-19 00:48:19.544877
24,2.0,DeliriumOrb,Portentous Delirium Orb,2.0,2020-04-19 00:48:19.544877
25,0.0,,Ancient Shard,,2020-04-19 00:48:19.544877
26,11.977658000000002,Currency,Orb of Chance,0.12222100000000001,2020-04-19 00:48:19.544877
27,33.27103111111111,Currency,Orb of Fusing,0.1671911111111111,2020-04-19 00:48:19.544877
28,0.0,,Regal Shard,,2020-04-19 00:48:19.544877
29,0.0,,Orb of Transmutation,,2020-04-19 00:48:19.544877
30,0.0,,Binding Shard,,2020-04-19 00:48:19.544877
31,4.904207,Currency,Orb of Alteration,0.2335336666666667,2020-04-19 00:48:19.544877
32,1.69232,Currency,Orb of Horizons,0.21154,2020-04-19 00:48:19.544877
33,1.5,Oil,Sepia Oil,0.5,2020-04-19 00:48:19.544877
34,2.0,DeliriumOrb,Decadent Delirium Orb,2.0,2020-04-19 00:48:19.544877
35,2.0,Oil,Clear Oil,0.5,2020-04-19 00:48:19.544877
36,4.200042,Currency,Simple Sextant,0.200002,2020-04-19 00:48:19.544877
37,0.90816,Currency,Blessed Orb,0.030272,2020-04-19 00:48:19.544877
38,0.0,,Portal Scroll,,2020-04-19 00:48:19.544877
39,38.759600000000006,Fragment,Simulacrum Splinter,0.48449500000000006,2020-04-19 00:48:19.544877
40,3.0,Currency,Tempering Catalyst,1.0,2020-04-19 00:48:19.544877
41,0.0,,Scroll of Wisdom,,2020-04-19 00:48:19.544877
42,1.88458,Currency,Orb of Scouring,0.376916,2020-04-19 00:48:19.544877
43,8.171592,Currency,Orb of Alchemy,0.157146,2020-04-19 00:48:19.544877
44,2.1723848275862068,Currency,Intrinsic Catalyst,0.1551703448275862,2020-04-19 00:48:19.544877
45,0.7313608421052632,Currency,Orb of Augmentation,0.1828402105263158,2020-04-19 00:48:19.544877
46,6.22809,Currency,Vaal Orb,0.622809,2020-04-19 00:48:19.544877
47,7.3333699999999995,Currency,Prime Sextant,0.66667,2020-04-19 00:48:19.544877
48,1.7206763333333333,Currency,Gemcutter's Prism,0.5735587777777778,2020-04-19 00:48:19.544877
49,0.0,,Chaos Orb,,2020-04-19 00:48:19.544877
50,5.734542,Currency,Chromatic Orb,0.100606,2020-04-19 00:48:19.544877
51,5.720000000000001,Currency,Cartographer's Chisel,0.22000000000000003,2020-04-19 00:48:19.544877
52,1.0,DivinationCard,The Hermit,1.0,2020-04-19 00:48:19.544877
53,6.0,DivinationCard,Imperial Legacy,1.0,2020-04-19 00:48:19.544877
54,1.32,DivinationCard,Prosperity,0.66,2020-04-19 00:48:19.544877
55,24.0,DivinationCard,The Catalyst,2.0,2020-04-19 00:48:19.544877
56,1.0,DivinationCard,The Blazing Fire,1.0,2020-04-19 00:48:19.544877
57,21.0,DivinationCard,Arrogance of the Vaal,7.0,2020-04-19 00:48:19.544877
58,2.48,DivinationCard,The Flora's Gift,0.62,2020-04-19 00:48:19.544877
59,1.0,DivinationCard,Thirst for Knowledge,1.0,2020-04-19 00:48:19.544877
60,12.0,DivinationCard,The Gemcutter,3.0,2020-04-19 00:48:19.544877
61,18.0,DivinationCard,Her Mask,1.0,2020-04-19 00:48:19.544877
62,1.0,DivinationCard,The Jeweller's Boon,1.0,2020-04-19 00:48:19.544877
63,1.0,DivinationCard,Scholar of the Seas,1.0,2020-04-19 00:48:19.544877
64,6.0,DivinationCard,The Tinkerer's Table,2.0,2020-04-19 00:48:19.544877
65,2.0,DivinationCard,The Lover,1.0,2020-04-19 00:48:19.544877
66,4.0,DivinationCard,The Endurance,1.0,2020-04-19 00:48:19.544877
67,6.0,DivinationCard,The King's Blade,1.0,2020-04-19 00:48:19.544877
68,1.0,DivinationCard,The Gentleman,1.0,2020-04-19 00:48:19.544877
69,1.78,DivinationCard,The Warden,0.89,2020-04-19 00:48:19.544877
70,1.0,DivinationCard,Boundless Realms,1.0,2020-04-19 00:48:19.544877
71,2.25,DivinationCard,Lantador's Lost Love,0.75,2020-04-19 00:48:19.544877
72,2.0,DivinationCard,Mitts,1.0,2020-04-19 00:48:19.544877
73,3.0,DivinationCard,Divine Justice,3.0,2020-04-19 00:48:19.544877
74,1.0,DivinationCard,Grave Knowledge,1.0,2020-04-19 00:48:19.544877
75,1.0,DivinationCard,Deathly Designs,1.0,2020-04-19 00:48:19.544877
76,2.0,DivinationCard,The Dreamer,2.0,2020-04-19 00:48:19.544877
77,24.200000000000003,DivinationCard,Rain of Chaos,1.1,2020-04-19 00:48:19.544877
78,1.0,DivinationCard,Gift of the Gemling Queen,1.0,2020-04-19 00:48:19.544877
79,1.0,DivinationCard,Harmony of Souls,1.0,2020-04-19 00:48:19.544877
80,9.0,DivinationCard,The Survivalist,3.0,2020-04-19 00:48:19.544877
81,1.0,DivinationCard,The Aesthete,1.0,2020-04-19 00:48:19.544877
82,1.0,DivinationCard,The Doppelganger,1.0,2020-04-19 00:48:19.544877
83,2.0,DivinationCard,The Seeker,2.0,2020-04-19 00:48:19.544877
84,3.0,DivinationCard,The Puzzle,3.0,2020-04-19 00:48:19.544877
85,1.0,DivinationCard,Last Hope,1.0,2020-04-19 00:48:19.544877
86,1.0,DivinationCard,Gemcutter's Promise,1.0,2020-04-19 00:48:19.544877
87,1.0,DivinationCard,The Garish Power,1.0,2020-04-19 00:48:19.544877
88,1.0,DivinationCard,The Lion,1.0,2020-04-19 00:48:19.544877
89,1.0,DivinationCard,The Union,1.0,2020-04-19 00:48:19.544877
90,2.0,DivinationCard,Hubris,1.0,2020-04-19 00:48:19.544877
91,2.0,DivinationCard,The Battle Born,1.0,2020-04-19 00:48:19.544877
92,2.0,DivinationCard,The Rite of Elements,1.0,2020-04-19 00:48:19.544877
93,4.0,DivinationCard,The Encroaching Darkness,2.0,2020-04-19 00:48:19.544877
94,1.0,DivinationCard,The Price of Protection,1.0,2020-04-19 00:48:19.544877
95,11.200000000000001,DivinationCard,Three Faces in the Dark,1.6,2020-04-19 00:48:19.544877
96,2.0,DivinationCard,The Chains that Bind,1.0,2020-04-19 00:48:19.544877
97,2.0,DivinationCard,The Wolf's Shadow,1.0,2020-04-19 00:48:19.544877
98,1.0,DivinationCard,The Obscured,1.0,2020-04-19 00:48:19.544877
