,value,type,type_line,datetime
0,0.0,,Alteration Shard,2020-04-18 16:41:40.247490
1,3.0322794117647063,Currency,Armourer's Scrap,2020-04-18 16:41:40.247490
2,1.73679,Currency,Intrinsic Catalyst,2020-04-18 16:41:40.247490
3,10.409909714285716,Currency,Blacksmith's Whetstone,2020-04-18 16:41:40.247490
4,2.0,Essence,Shrieking Essence of Dread,2020-04-18 16:41:40.247490
5,1.0,Essence,Weeping Essence of Sorrow,2020-04-18 16:41:40.247490
6,15.595951515151516,Currency,Awakened Sextant,2020-04-18 16:41:40.247490
7,2.0568939130434782,Currency,Glassblower's Bauble,2020-04-18 16:41:40.247490
8,1.33332,Currency,Orb of Binding,2020-04-18 16:41:40.247490
9,21.685389,Currency,Orb of Regret,2020-04-18 16:41:40.247490
10,2.33338,Currency,Abrasive Catalyst,2020-04-18 16:41:40.247490
11,19.148085,Currency,Jeweller's Orb,2020-04-18 16:41:40.247490
12,18.517037000000002,Currency,Orb of Augmentation,2020-04-18 16:41:40.247490
13,7.809699056603774,Currency,Perandus Coin,2020-04-18 16:41:40.247490
14,0.66666,Currency,Engineer's Orb,2020-04-18 16:41:40.247490
15,0.0,,Chaos Shard,2020-04-18 16:41:40.247490
16,6.457897355555556,Currency,Silver Coin,2020-04-18 16:41:40.247490
17,1.33332,Currency,Turbulent Catalyst,2020-04-18 16:41:40.247490
18,5.82,Essence,Remnant of Corruption,2020-04-18 16:41:40.247490
19,1.0,Oil,Azure Oil,2020-04-18 16:41:40.247490
20,0.0,,Ancient Shard,2020-04-18 16:41:40.247490
21,10.179708000000002,Currency,Orb of Chance,2020-04-18 16:41:40.247490
22,0.0,,Transmutation Shard,2020-04-18 16:41:40.247490
23,32.155294888888896,Currency,Orb of Fusing,2020-04-18 16:41:40.247490
24,3.6820188235294116,Currency,Regal Orb,2020-04-18 16:41:40.247490
25,0.0,,Regal Shard,2020-04-18 16:41:40.247490
26,0.0,,Orb of Transmutation,2020-04-18 16:41:40.247490
27,0.0,,Binding Shard,2020-04-18 16:41:40.247490
28,2.261095,Currency,Orb of Horizons,2020-04-18 16:41:40.247490
29,2.0,DeliriumOrb,Decadent Delirium Orb,2020-04-18 16:41:40.247490
30,73.23294,Currency,Orb of Alteration,2020-04-18 16:41:40.247490
31,3.2221948,Currency,Simple Sextant,2020-04-18 16:41:40.247490
32,0.9125358,Currency,Blessed Orb,2020-04-18 16:41:40.247490
33,0.0,,Portal Scroll,2020-04-18 16:41:40.247490
34,3.0,Currency,Tempering Catalyst,2020-04-18 16:41:40.247490
35,0.0,,Scroll of Wisdom,2020-04-18 16:41:40.247490
36,1.9114787096774193,Currency,Splinter of Tul,2020-04-18 16:41:40.247490
37,0.0,,Exalted Orb,2020-04-18 16:41:40.247490
38,1.0,Essence,Screaming Essence of Anger,2020-04-18 16:41:40.247490
39,0.0,,Medium Cluster Jewel,2020-04-18 16:41:40.247490
40,8.64084608955224,Currency,Orb of Alchemy,2020-04-18 16:41:40.247490
41,1.0,Essence,Wailing Essence of Spite,2020-04-18 16:41:40.247490
42,8.066586000000001,Currency,Chromatic Orb,2020-04-18 16:41:40.247490
43,1.9306953658536585,Currency,Vaal Orb,2020-04-18 16:41:40.247490
44,7.3333699999999995,Currency,Prime Sextant,2020-04-18 16:41:40.247490
45,5.1574226086956525,Currency,Gemcutter's Prism,2020-04-18 16:41:40.247490
46,166.75370311111115,Fragment,Simulacrum Splinter,2020-04-18 16:41:40.247490
47,0.0,,Chaos Orb,2020-04-18 16:41:40.247490
48,0.0,,Horizon Shard,2020-04-18 16:41:40.247490
49,3.0,DeliriumOrb,Armoursmith's Delirium Orb,2020-04-18 16:41:40.247490
50,6.217354,Currency,Cartographer's Chisel,2020-04-18 16:41:40.247490
51,0.0,,Alchemy Shard,2020-04-18 16:41:40.247490
52,46.041324521739135,Currency,Orb of Scouring,2020-04-18 16:41:40.247490
53,1.0,DivinationCard,The Hermit,2020-04-18 16:41:40.247490
54,6.0,DivinationCard,Imperial Legacy,2020-04-18 16:41:40.247490
55,2.0,DivinationCard,Prosperity,2020-04-18 16:41:40.247490
56,15.600000000000001,DivinationCard,The Catalyst,2020-04-18 16:41:40.247490
57,1.0,DivinationCard,The Blazing Fire,2020-04-18 16:41:40.247490
58,21.0,DivinationCard,Arrogance of the Vaal,2020-04-18 16:41:40.247490
59,4.0,DivinationCard,The Flora's Gift,2020-04-18 16:41:40.247490
60,1.0,DivinationCard,Thirst for Knowledge,2020-04-18 16:41:40.247490
61,9.0,DivinationCard,The Gemcutter,2020-04-18 16:41:40.247490
62,18.0,DivinationCard,Her Mask,2020-04-18 16:41:40.247490
