,chaos_value,type,type_line,price,shoplink_template,stack_size,datetime
0,18.5,Currency,Armourer's Scrap,0.125,"[linkItem location=""Stash1"" league=""Delirium"" x=""3"" y=""0""] ~b/o {final_price} {fx_id}",148,2020-04-24 16:47:53.719541
1,0.9,Currency,Imbued Catalyst,0.1,"[linkItem location=""Stash1"" league=""Delirium"" x=""43"" y=""0""] ~b/o {final_price} {fx_id}",9,2020-04-24 16:47:53.719541
2,6.11105,Currency,Blacksmith's Whetstone,0.11111,"[linkItem location=""Stash1"" league=""Delirium"" x=""0"" y=""0""] ~b/o {final_price} {fx_id}",55,2020-04-24 16:47:53.719541
3,10.96772,Currency,Gemcutter's Prism,0.64516,"[linkItem location=""Stash1"" league=""Delirium"" x=""16"" y=""0""] ~b/o {final_price} {fx_id}",17,2020-04-24 16:47:53.719541
4,0.0,,Alteration Shard,,"[linkItem location=""Stash1"" league=""Delirium"" x=""25"" y=""0""] ~b/o {final_price} {fx_id}",19,2020-04-24 16:47:53.719541
5,3.0000599999999995,Currency,Orb of Binding,0.14286,"[linkItem location=""Stash1"" league=""Delirium"" x=""59"" y=""0""] ~b/o {final_price} {fx_id}",21,2020-04-24 16:47:53.719541
6,32.0,DeliriumOrb,Fine Delirium Orb,16.0,"[linkItem location=""Stash1"" league=""Delirium"" x=""44"" y=""0""] ~b/o {final_price} {fx_id}",2,2020-04-24 16:47:53.719541
7,16.0,Currency,Divine Orb,16.0,"[linkItem location=""Stash1"" league=""Delirium"" x=""20"" y=""0""] ~b/o {final_price} {fx_id}",1,2020-04-24 16:47:53.719541
8,16.0,Currency,Exalted Shard,8.0,"[linkItem location=""Stash1"" league=""Delirium"" x=""51"" y=""0""] ~b/o {final_price} {fx_id}",2,2020-04-24 16:47:53.719541
9,0.0,,Scroll Fragment,,"[linkItem location=""Stash1"" league=""Delirium"" x=""23"" y=""0""] ~b/o {final_price} {fx_id}",2,2020-04-24 16:47:53.719541
10,2.0,Currency,Harbinger's Orb,2.0,"[linkItem location=""Stash1"" league=""Delirium"" x=""57"" y=""0""] ~b/o {final_price} {fx_id}",1,2020-04-24 16:47:53.719541
11,0.0,,Alchemy Shard,,"[linkItem location=""Stash1"" league=""Delirium"" x=""26"" y=""0""] ~b/o {final_price} {fx_id}",18,2020-04-24 16:47:53.719541
12,3.85722,Currency,Abrasive Catalyst,0.14286,"[linkItem location=""Stash1"" league=""Delirium"" x=""34"" y=""0""] ~b/o {final_price} {fx_id}",27,2020-04-24 16:47:53.719541
13,8.400894915254238,Currency,Jeweller's Orb,0.04516610169491526,"[linkItem location=""Stash1"" league=""Delirium"" x=""19"" y=""0""] ~b/o {final_price} {fx_id}",186,2020-04-24 16:47:53.719541
14,1.8738105194805195,Currency,Glassblower's Bauble,0.20820116883116882,"[linkItem location=""Stash1"" league=""Delirium"" x=""15"" y=""0""] ~b/o {final_price} {fx_id}",9,2020-04-24 16:47:53.719541
15,0.8295773134328358,Currency,Engineer's Orb,0.10369716417910448,"[linkItem location=""Stash1"" league=""Delirium"" x=""60"" y=""0""] ~b/o {final_price} {fx_id}",8,2020-04-24 16:47:53.719541
16,14.85692,Currency,Orb of Regret,0.28571,"[linkItem location=""Stash1"" league=""Delirium"" x=""7"" y=""0""] ~b/o {final_price} {fx_id}",52,2020-04-24 16:47:53.719541
17,6.021313846153847,Currency,Regal Orb,0.21504692307692308,"[linkItem location=""Stash1"" league=""Delirium"" x=""12"" y=""0""] ~b/o {final_price} {fx_id}",28,2020-04-24 16:47:53.719541
18,5.896727789473684,Currency,Silver Coin,0.06625536842105263,"[linkItem location=""Stash1"" league=""Delirium"" x=""35"" y=""0""] ~b/o {final_price} {fx_id}",89,2020-04-24 16:47:53.719541
19,5.931196296296296,Currency,Turbulent Catalyst,0.2965598148148148,"[linkItem location=""Stash1"" league=""Delirium"" x=""41"" y=""0""] ~b/o {final_price} {fx_id}",20,2020-04-24 16:47:53.719541
20,5.277364705882352,Currency,Perandus Coin,0.008094117647058823,"[linkItem location=""Stash1"" league=""Delirium"" x=""39"" y=""0""] ~b/o {final_price} {fx_id}",652,2020-04-24 16:47:53.719541
21,5.0,Currency,Orb of Annulment,5.0,"[linkItem location=""Stash1"" league=""Delirium"" x=""54"" y=""0""] ~b/o {final_price} {fx_id}",1,2020-04-24 16:47:53.719541
22,1.0,Oil,Amber Oil,0.5,"[linkItem location=""Stash1"" league=""Delirium"" x=""40"" y=""0""] ~b/o {final_price} {fx_id}",2,2020-04-24 16:47:53.719541
23,0.0,,Harbinger's Shard,,"[linkItem location=""Stash1"" league=""Delirium"" x=""64"" y=""0""] ~b/o {final_price} {fx_id}",4,2020-04-24 16:47:53.719541
24,54.0,Currency,Stacked Deck,2.0,"[linkItem location=""Stash1"" league=""Delirium"" x=""45"" y=""0""] ~b/o {final_price} {fx_id}",27,2020-04-24 16:47:53.719541
25,5.46,Essence,Remnant of Corruption,0.78,"[linkItem location=""Stash1"" league=""Delirium"" x=""33"" y=""0""] ~b/o {final_price} {fx_id}",7,2020-04-24 16:47:53.719541
26,16.33317,Currency,Orb of Chance,0.11111,"[linkItem location=""Stash1"" league=""Delirium"" x=""6"" y=""0""] ~b/o {final_price} {fx_id}",147,2020-04-24 16:47:53.719541
27,42.42941999999999,Currency,Orb of Fusing,0.14286,"[linkItem location=""Stash1"" league=""Delirium"" x=""18"" y=""0""] ~b/o {final_price} {fx_id}",297,2020-04-24 16:47:53.719541
