,value,type,type_line,price,shoplink_template,stack_size,datetime
0,16.22206,Currency,Armourer's Scrap,0.11111,"[linkItem location=""Stash1"" league=""Delirium"" x=""3"" y=""0""] ~b/o {final_price} {fx_id}",146,2020-04-23 22:42:29.385735
1,0.9897637499999999,Currency,Imbued Catalyst,0.10997375,"[linkItem location=""Stash1"" league=""Delirium"" x=""43"" y=""0""] ~b/o {final_price} {fx_id}",9,2020-04-23 22:42:29.385735
2,6.11105,Currency,Blacksmith's Whetstone,0.11111,"[linkItem location=""Stash1"" league=""Delirium"" x=""0"" y=""0""] ~b/o {final_price} {fx_id}",55,2020-04-23 22:42:29.385735
3,10.66672,Currency,Gemcutter's Prism,0.66667,"[linkItem location=""Stash1"" league=""Delirium"" x=""16"" y=""0""] ~b/o {final_price} {fx_id}",16,2020-04-23 22:42:29.385735
4,0.0,,Alteration Shard,,"[linkItem location=""Stash1"" league=""Delirium"" x=""25"" y=""0""] ~b/o {final_price} {fx_id}",4,2020-04-23 22:42:29.385735
5,2.74925,Currency,Orb of Binding,0.1374625,"[linkItem location=""Stash1"" league=""Delirium"" x=""59"" y=""0""] ~b/o {final_price} {fx_id}",20,2020-04-23 22:42:29.385735
6,32.0,DeliriumOrb,Fine Delirium Orb,16.0,"[linkItem location=""Stash1"" league=""Delirium"" x=""44"" y=""0""] ~b/o {final_price} {fx_id}",2,2020-04-23 22:42:29.385735
7,15.0,Currency,Divine Orb,15.0,"[linkItem location=""Stash1"" league=""Delirium"" x=""20"" y=""0""] ~b/o {final_price} {fx_id}",1,2020-04-23 22:42:29.385735
8,16.0,Currency,Exalted Shard,8.0,"[linkItem location=""Stash1"" league=""Delirium"" x=""51"" y=""0""] ~b/o {final_price} {fx_id}",2,2020-04-23 22:42:29.385735
9,0.0,,Scroll Fragment,,"[linkItem location=""Stash1"" league=""Delirium"" x=""23"" y=""0""] ~b/o {final_price} {fx_id}",2,2020-04-23 22:42:29.385735
10,2.0,Currency,Harbinger's Orb,2.0,"[linkItem location=""Stash1"" league=""Delirium"" x=""57"" y=""0""] ~b/o {final_price} {fx_id}",1,2020-04-23 22:42:29.385735
11,3.318624,Currency,Abrasive Catalyst,0.144288,"[linkItem location=""Stash1"" league=""Delirium"" x=""34"" y=""0""] ~b/o {final_price} {fx_id}",23,2020-04-23 22:42:29.385735
12,7.89748,Currency,Jeweller's Orb,0.04412,"[linkItem location=""Stash1"" league=""Delirium"" x=""19"" y=""0""] ~b/o {final_price} {fx_id}",179,2020-04-23 22:42:29.385735
13,2.074495846153846,Currency,Glassblower's Bauble,0.23049953846153845,"[linkItem location=""Stash1"" league=""Delirium"" x=""15"" y=""0""] ~b/o {final_price} {fx_id}",9,2020-04-23 22:42:29.385735
14,1.1056521739130434,Currency,Engineer's Orb,0.13820652173913042,"[linkItem location=""Stash1"" league=""Delirium"" x=""60"" y=""0""] ~b/o {final_price} {fx_id}",8,2020-04-23 22:42:29.385735
15,14.57121,Currency,Orb of Regret,0.28571,"[linkItem location=""Stash1"" league=""Delirium"" x=""7"" y=""0""] ~b/o {final_price} {fx_id}",51,2020-04-23 22:42:29.385735
16,5.77772,Currency,Regal Orb,0.22222,"[linkItem location=""Stash1"" league=""Delirium"" x=""12"" y=""0""] ~b/o {final_price} {fx_id}",26,2020-04-23 22:42:29.385735
17,5.3451175,Currency,Silver Coin,0.0600575,"[linkItem location=""Stash1"" league=""Delirium"" x=""35"" y=""0""] ~b/o {final_price} {fx_id}",89,2020-04-23 22:42:29.385735
18,4.867310204081632,Currency,Turbulent Catalyst,0.3244873469387755,"[linkItem location=""Stash1"" league=""Delirium"" x=""41"" y=""0""] ~b/o {final_price} {fx_id}",15,2020-04-23 22:42:29.385735
19,5.216,Currency,Perandus Coin,0.008,"[linkItem location=""Stash1"" league=""Delirium"" x=""39"" y=""0""] ~b/o {final_price} {fx_id}",652,2020-04-23 22:42:29.385735
20,5.0,Currency,Orb of Annulment,5.0,"[linkItem location=""Stash1"" league=""Delirium"" x=""54"" y=""0""] ~b/o {final_price} {fx_id}",1,2020-04-23 22:42:29.385735
21,1.0,Oil,Amber Oil,0.5,"[linkItem location=""Stash1"" league=""Delirium"" x=""40"" y=""0""] ~b/o {final_price} {fx_id}",2,2020-04-23 22:42:29.385735
